,timestamp,authentication_id,data_0,data_1,data_2,data_3,data_4,data_5,data_6,Label
0,1754943815.9511745,67,0,0,0,155,80,0,0,Benign
1,1754943815.9514031,152,0,0,0,0,0,0,0,Benign
2,1754943815.9516501,162,0,0,0,0,0,0,0,Benign
3,1754943815.966664,152,0,0,0,0,0,0,0,Benign
4,1754943815.9668617,67,0,0,0,23,75,0,0,Benign
5,1754943815.9671125,162,0,0,0,0,0,0,0,Benign
6,1754943815.9814706,152,0,0,0,0,0,0,0,Benign
7,1754943815.9816756,67,0,0,0,86,69,0,0,Benign
8,1754943815.9819272,162,0,0,0,0,0,0,0,Benign
9,1754943815.9821692,656,0,0,0,0,0,0,0,Benign
10,1754943815.9978688,152,0,0,0,0,0,0,0,Benign
11,1754943815.9980826,67,0,0,0,185,63,0,0,Benign
12,1754943815.9983404,162,0,0,0,0,0,0,0,Benign
13,1754943816.013077,67,0,0,0,242,58,0,0,Benign
14,1754943816.0133011,152,0,0,0,0,0,0,0,Benign
15,1754943816.0135572,162,0,0,0,0,0,0,0,Benign
16,1754943816.027899,162,0,0,0,0,0,0,0,Benign
17,1754943816.0281112,67,0,0,0,248,53,0,0,Benign
18,1754943816.0283694,152,0,0,0,0,0,0,0,Benign
19,1754943816.0425487,162,0,0,0,0,0,0,0,Benign
20,1754943816.0427456,67,0,0,0,216,48,0,0,Benign
21,1754943816.043009,152,0,0,0,0,0,0,0,Benign
22,1754943816.0582457,162,0,0,0,0,0,0,0,Benign
23,1754943816.0584476,67,0,0,0,55,44,0,0,Benign
24,1754943816.0587008,152,0,0,0,0,0,0,0,Benign
25,1754943816.0749972,162,0,0,0,0,0,0,0,Benign
26,1754943816.0752175,67,0,0,0,197,39,0,0,Benign
27,1754943816.0754683,152,0,0,0,0,0,0,0,Benign
28,1754943816.0892048,152,0,0,0,0,0,0,0,Benign
29,1754943816.0894313,67,0,0,0,248,34,0,0,Benign
30,1754943816.0896633,162,0,0,0,0,0,0,0,Benign
31,1754943816.089916,656,0,0,0,0,0,0,0,Benign
32,1754943816.1043944,162,0,0,0,0,0,0,0,Benign
33,1754943816.1046205,67,0,0,0,54,31,0,0,Benign
34,1754943816.1048691,152,0,0,0,0,0,0,0,Benign
35,1754943816.1187716,67,0,0,0,100,27,0,0,Benign
36,1754943816.118992,162,0,0,0,0,0,0,0,Benign
37,1754943816.1192424,152,0,0,0,0,0,0,0,Benign
38,1754943816.134445,152,0,0,0,0,0,0,0,Benign
39,1754943816.1346664,67,0,0,0,143,23,0,0,Benign
40,1754943816.134907,162,0,0,0,0,0,0,0,Benign
41,1754943816.149499,162,0,0,0,0,0,0,0,Benign
42,1754943816.1505454,67,0,0,0,52,20,0,0,Benign
43,1754943816.150763,152,0,0,0,0,0,0,0,Benign
44,1754943816.1646998,152,0,0,0,0,0,0,0,Benign
45,1754943816.1649127,67,0,0,0,21,17,0,0,Benign
46,1754943816.165167,162,0,0,0,0,0,0,0,Benign
47,1754943816.1797864,67,0,0,0,54,14,0,0,Benign
48,1754943816.1800153,152,0,0,0,0,0,0,0,Benign
49,1754943816.180251,162,0,0,0,0,0,0,0,Benign
50,1754943816.1953273,152,0,0,0,0,0,0,0,Benign
51,1754943816.195549,67,0,0,0,150,11,0,0,Benign
52,1754943816.1962085,162,0,0,0,0,0,0,0,Benign
53,1754943816.1964402,656,0,0,0,0,0,0,0,Benign
54,1754943816.2098267,152,0,0,0,0,0,0,0,Benign
55,1754943816.2100377,67,0,0,0,56,9,0,0,Benign
56,1754943816.2102835,162,0,0,0,0,0,0,0,Benign
57,1754943816.2265053,162,0,0,0,0,0,0,0,Benign
58,1754943816.2267165,67,0,0,0,251,6,0,0,Benign
59,1754943816.2269745,152,0,0,0,0,0,0,0,Benign
