,timestamp,authentication_id,data_0,data_1,data_2,data_3,data_4,data_5,data_6
0,1754490977.0388467,67.0,0.0,0.0,0.0,48.0,251.0,0.0,0.0
1,1754490977.0390387,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1754490977.0392838,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1754490977.0395381,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1754490977.0409358,646.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
5,1754490977.0541568,67.0,0.0,0.0,0.0,210.0,249.0,0.0,0.0
6,1754490977.0543742,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1754490977.0546162,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1754490977.069024,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1754490977.0692375,67.0,0.0,0.0,0.0,46.0,248.0,0.0,0.0
10,1754490977.0694983,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1754490977.0840135,67.0,0.0,0.0,0.0,69.0,246.0,0.0,0.0
12,1754490977.084235,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1754490977.0844908,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1754490977.0989153,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1754490977.0991375,67.0,0.0,0.0,0.0,24.0,244.0,0.0,0.0
16,1754490977.0994008,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1754490977.0996397,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1754490977.1138892,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1754490977.1141145,67.0,0.0,0.0,0.0,169.0,241.0,0.0,0.0
20,1754490977.1143653,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1754490977.1288772,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1754490977.129099,67.0,0.0,0.0,0.0,248.0,238.0,0.0,0.0
23,1754490977.129352,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1754490977.1442482,67.0,0.0,0.0,0.0,8.0,236.0,0.0,0.0
25,1754490977.144476,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1754490977.1447272,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1754490977.1449783,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1754490977.1456997,646.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
29,1754490977.1589622,67.0,0.0,0.0,0.0,217.0,232.0,0.0,0.0
30,1754490977.1591933,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1754490977.1594377,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1754490977.1740322,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1754490977.1742606,67.0,0.0,0.0,0.0,111.0,229.0,0.0,0.0
34,1754490977.1745105,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1754490977.1888332,67.0,0.0,0.0,0.0,202.0,225.0,0.0,0.0
36,1754490977.1890745,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1754490977.1893137,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1754490977.2037828,67.0,0.0,0.0,0.0,237.0,221.0,0.0,0.0
39,1754490977.2040114,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1754490977.2042627,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1754490977.204506,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1754490977.2187853,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1754490977.2190182,67.0,0.0,0.0,0.0,218.0,217.0,0.0,0.0
44,1754490977.2192895,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1754490977.2337637,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1754490977.2339723,67.0,0.0,0.0,0.0,148.0,213.0,0.0,0.0
47,1754490977.2342122,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1754490977.2493942,67.0,0.0,0.0,0.0,28.0,209.0,0.0,0.0
49,1754490977.2496052,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1754490977.2513564,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1754490977.2515507,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1754490977.2530832,646.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
53,1754490977.264676,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1754490977.2648675,67.0,0.0,0.0,0.0,117.0,204.0,0.0,0.0
55,1754490977.2651267,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1754490977.2793734,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1754490977.2795718,67.0,0.0,0.0,0.0,163.0,199.0,0.0,0.0
58,1754490977.2798147,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1754490977.294382,67.0,0.0,0.0,0.0,167.0,194.0,0.0,0.0
60,1754490977.2945354,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1754490977.294791,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1754490977.309194,67.0,0.0,0.0,0.0,133.0,189.0,0.0,0.0
63,1754490977.3093698,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
