,timestamp,authentication_id,data_0,data_1,data_2,data_3,data_4,data_5,data_6
0,1754490485.678262,162.0,9.0,210.0,225.0,18.0,47.0,2.0,67.0
1,1754490485.6873271,67.0,158.0,221.0,103.0,246.0,51.0,4.0,153.0
2,1754490485.6886382,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1754490485.6887195,67.0,0.0,0.0,0.0,120.0,49.0,0.0,0.0
4,1754490485.6890132,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1754490485.695677,152.0,219.0,22.0,132.0,1.0,142.0,209.0,214.0
6,1754490485.7036774,67.0,205.0,111.0,81.0,32.0,157.0,153.0,253.0
7,1754490485.704113,67.0,0.0,0.0,0.0,132.0,44.0,0.0,0.0
8,1754490485.7043362,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1754490485.7046077,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1754490485.713793,152.0,144.0,72.0,182.0,36.0,149.0,57.0,92.0
11,1754490485.7198455,67.0,0.0,0.0,0.0,196.0,39.0,0.0,0.0
12,1754490485.7200325,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1754490485.7202835,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,1754490485.7226138,162.0,115.0,224.0,93.0,23.0,144.0,246.0,69.0
15,1754490485.7348957,152.0,180.0,12.0,189.0,92.0,200.0,9.0,219.0
16,1754490485.7362912,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1754490485.736477,67.0,0.0,0.0,0.0,62.0,35.0,0.0,0.0
18,1754490485.7367382,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1754490485.7450836,67.0,133.0,135.0,150.0,142.0,83.0,102.0,74.0
20,1754490485.7518375,162.0,30.0,227.0,31.0,234.0,209.0,157.0,125.0
21,1754490485.7523842,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1754490485.7526004,67.0,0.0,0.0,0.0,242.0,30.0,0.0,0.0
23,1754490485.7528172,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1754490485.7530568,646.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
25,1754490485.7533007,656.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0
26,1754490485.7619262,162.0,235.0,10.0,31.0,153.0,98.0,104.0,14.0
27,1754490485.767933,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1754490485.768096,67.0,0.0,0.0,0.0,36.0,27.0,0.0,0.0
29,1754490485.7683723,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1754490485.7687025,67.0,4.0,143.0,77.0,154.0,97.0,107.0,25.0
31,1754490485.7776446,152.0,187.0,63.0,247.0,125.0,216.0,3.0,87.0
32,1754490485.783389,67.0,0.0,0.0,0.0,142.0,23.0,0.0,0.0
33,1754490485.783595,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1754490485.7838438,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,1754490485.784428,67.0,211.0,67.0,45.0,225.0,201.0,117.0,43.0
36,1754490485.794394,162.0,141.0,124.0,70.0,184.0,106.0,45.0,139.0
37,1754490485.798578,67.0,0.0,0.0,0.0,252.0,19.0,0.0,0.0
38,1754490485.798727,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1754490485.7989829,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,1754490485.8017948,656.0,35.0,166.0,136.0,202.0,102.0,1.0,163.0
41,1754490485.8111863,152.0,171.0,80.0,148.0,169.0,45.0,37.0,60.0
42,1754490485.8137543,67.0,0.0,0.0,0.0,226.0,16.0,0.0,0.0
43,1754490485.81396,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1754490485.8142538,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,1754490485.8179276,646.0,218.0,79.0,26.0,9.0,71.0,30.0,222.0
46,1754490485.8270447,152.0,46.0,147.0,237.0,25.0,175.0,63.0,145.0
47,1754490485.8288388,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1754490485.829023,67.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0
49,1754490485.8292718,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,1754490485.837027,67.0,231.0,121.0,96.0,184.0,61.0,124.0,219.0
51,1754490485.8442621,67.0,0.0,0.0,0.0,107.0,11.0,0.0,0.0
