Created a socket
(1754491234.8348582) can0 0x0#
(1754491234.8365138) can0 0x0#
(1754491234.8382702) can0 0x0#
(1754491234.8396902) can0 0x0#
(1754491234.8410478) can0 0x43#000000C5F3000000
(1754491234.8412397) can0 0x98#0000000000000000
(1754491234.8414898) can0 0xa2#0000000000000000
(1754491234.841748) can0 0x286#0000000000000000
(1754491234.8419838) can0 0x290#0000000000000000
(1754491234.842076) can0 0x0#
(1754491234.8437889) can0 0x0#
(1754491234.8453937) can0 0x0#
(1754491234.8468304) can0 0x0#
(1754491234.848472) can0 0x0#
(1754491234.849962) can0 0x0#
(1754491234.851862) can0 0x0#
(1754491234.8537421) can0 0x0#
(1754491234.8554766) can0 0x0#
(1754491234.8561876) can0 0xa2#0000000000000000
(1754491234.8563633) can0 0x43#000000FCF5000000
(1754491234.8566246) can0 0x98#0000000000000000
(1754491234.857729) can0 0x0#
(1754491234.8593621) can0 0x0#
(1754491234.8610046) can0 0x0#
(1754491234.8627) can0 0x0#
(1754491234.8644652) can0 0x0#
(1754491234.8663137) can0 0x0#
(1754491234.8679583) can0 0x0#
(1754491234.871223) can0 0xa2#0000000000000000
(1754491234.8713882) can0 0x43#000000EEF7000000
(1754491234.8716555) can0 0x98#0000000000000000
(1754491234.872197) can0 0x0#
(1754491234.8741195) can0 0x0#
(1754491234.8763819) can0 0x0#
(1754491234.8784604) can0 0x0#
(1754491234.880131) can0 0x0#
(1754491234.881949) can0 0x0#
(1754491234.884311) can0 0x0#
(1754491234.886216) can0 0xa2#0000000000000000
(1754491234.886301) can0 0x0#
(1754491234.8865345) can0 0x43#000000B6F9000000
(1754491234.8868158) can0 0x98#0000000000000000
(1754491234.8890653) can0 0x0#
(1754491234.8909748) can0 0x0#
(1754491234.892961) can0 0x0#
(1754491234.8945794) can0 0x0#
(1754491234.8961825) can0 0x0#
(1754491234.898102) can0 0x0#
(1754491234.9000673) can0 0x0#
(1754491234.9016252) can0 0x43#00000019FB000000
(1754491234.901811) can0 0x98#0000000000000000
(1754491234.902078) can0 0xa2#0000000000000000
(1754491234.9027064) can0 0x0#
(1754491234.9043617) can0 0x0#
(1754491234.9060879) can0 0x0#
(1754491234.9084148) can0 0x0#
(1754491234.9091141) can0 0x0#
(1754491234.9109895) can0 0x0#
(1754491234.9128597) can0 0x0#
(1754491234.9145167) can0 0x0#
(1754491234.9161782) can0 0x0#
(1754491234.9175303) can0 0x98#0000000000000000
(1754491234.9176795) can0 0x43#00000047FC000000
(1754491234.9179223) can0 0xa2#0000000000000000
(1754491234.9190729) can0 0x0#
(1754491234.9210265) can0 0x0#
(1754491234.9228818) can0 0x0#
(1754491234.924697) can0 0x0#
(1754491234.929996) can0 0x0#
(1754491234.932409) can0 0xa2#0000000000000000
(1754491234.9326365) can0 0x43#00000017FD000000
(1754491234.9328334) can0 0x98#0000000000000000
(1754491234.936418) can0 0x0#
(1754491234.941125) can0 0x0#
(1754491234.945178) can0 0x0#
(1754491234.9470127) can0 0x0#
(1754491234.9474623) can0 0x43#000000A1FD000000
(1754491234.9476805) can0 0x98#0000000000000000
(1754491234.9479275) can0 0xa2#0000000000000000
(1754491234.9481742) can0 0x286#0000000000000000
(1754491234.9484518) can0 0x290#0000000000000000
(1754491234.952316) can0 0x0#
(1754491234.9539323) can0 0x0#
(1754491234.958032) can0 0x0#
(1754491234.9597483) can0 0x0#
(1754491234.961929) can0 0x0#
(1754491234.9634917) can0 0x43#000000E3FD000000
(1754491234.9636903) can0 0x98#0000000000000000
(1754491234.963923) can0 0xa2#0000000000000000
(1754491234.9643161) can0 0x0#
(1754491234.9657638) can0 0x0#
(1754491234.9674048) can0 0x0#
(1754491234.9689047) can0 0x0#
(1754491234.970673) can0 0x0#
(1754491234.9722834) can0 0x0#
(1754491234.9751325) can0 0x0#
(1754491234.975617) can0 0x0#
(1754491234.9770546) can0 0x0#
(1754491234.9789271) can0 0x0#
(1754491234.9794807) can0 0xa2#0000000000000000
(1754491234.979697) can0 0x43#000000D4FD000000
(1754491234.9799542) can0 0x98#0000000000000000
(1754491234.9811206) can0 0x0#
(1754491234.982208) can0 0x0#
(1754491234.983214) can0 0x0#
(1754491234.9841542) can0 0x0#
(1754491234.985403) can0 0x0#
(1754491234.9871676) can0 0x0#
(1754491234.9884934) can0 0x0#
