Created a socket
(1754491326.119765) can0 0xa2#0000000000000000
(1754491326.1243362) can0 0x43#000000473B000000
(1754491326.1310077) can0 0x43#000000473B000000
(1754491326.1328707) can0 0x98#0000000000000000
(1754491326.1330538) can0 0x43#000000AB10000000
(1754491326.1333115) can0 0xa2#0000000000000000
(1754491326.137674) can0 0x43#000000473B000000
(1754491326.14373) can0 0x43#000000473B000000
(1754491326.1484277) can0 0x98#0000000000000000
(1754491326.1486642) can0 0xa2#0000000000000000
(1754491326.1488726) can0 0x43#000000F713000000
(1754491326.150152) can0 0x43#000000473B000000
(1754491326.1575668) can0 0x43#000000473B000000
(1754491326.1628852) can0 0x43#0000004E17000000
(1754491326.1631043) can0 0x98#0000000000000000
(1754491326.1638694) can0 0xa2#0000000000000000
(1754491326.1640494) can0 0x290#0000000000000000
(1754491326.164295) can0 0x43#000000473B000000
(1754491326.1705165) can0 0x43#000000473B000000
(1754491326.1769178) can0 0x43#000000473B000000
(1754491326.179961) can0 0x43#0000001F1B000000
(1754491326.180173) can0 0x98#0000000000000000
(1754491326.1804316) can0 0xa2#0000000000000000
(1754491326.1846347) can0 0x43#000000473B000000
(1754491326.1911004) can0 0x43#000000473B000000
(1754491326.1950831) can0 0x98#0000000000000000
(1754491326.1952677) can0 0x43#000000ED1E000000
(1754491326.1955123) can0 0xa2#0000000000000000
(1754491326.1957574) can0 0x286#0000000000000000
(1754491326.1982584) can0 0x43#000000473B000000
(1754491326.204801) can0 0x43#000000473B000000
(1754491326.2101886) can0 0x43#000000F122000000
(1754491326.2103894) can0 0x98#0000000000000000
(1754491326.2106347) can0 0xa2#0000000000000000
(1754491326.211721) can0 0x43#000000473B000000
(1754491326.218618) can0 0x43#000000473B000000
(1754491326.2248898) can0 0x43#000000473B000000
(1754491326.2251241) can0 0x43#0000007427000000
(1754491326.2253964) can0 0x98#0000000000000000
(1754491326.225622) can0 0xa2#0000000000000000
(1754491326.2316456) can0 0x43#000000473B000000
(1754491326.240377) can0 0x43#000000473B000000
(1754491326.2412977) can0 0x43#000000E22B000000
(1754491326.2415247) can0 0x98#0000000000000000
(1754491326.2417505) can0 0xa2#0000000000000000
(1754491326.2467842) can0 0x43#000000473B000000
(1754491326.2529447) can0 0x43#000000473B000000
(1754491326.256024) can0 0xa2#0000000000000000
(1754491326.256239) can0 0x43#0000008030000000
(1754491326.2565122) can0 0x98#0000000000000000
(1754491326.2607515) can0 0x43#000000473B000000
(1754491326.266923) can0 0x43#000000473B000000
(1754491326.27151) can0 0x98#0000000000000000
(1754491326.2717276) can0 0x43#0000009D35000000
(1754491326.2719643) can0 0xa2#0000000000000000
(1754491326.2723112) can0 0x290#0000000000000000
(1754491326.2750247) can0 0x43#000000473B000000
(1754491326.2846484) can0 0x43#000000473B000000
(1754491326.286291) can0 0x43#000000943A000000
(1754491326.2864788) can0 0x98#0000000000000000
(1754491326.2867415) can0 0xa2#0000000000000000
(1754491326.2901318) can0 0x43#000000473B000000
(1754491326.2977853) can0 0x43#000000473B000000
(1754491326.3017564) can0 0x98#0000000000000000
(1754491326.3019671) can0 0x43#000000B13F000000
(1754491326.3022163) can0 0xa2#0000000000000000
(1754491326.3024554) can0 0x286#0000000000000000
(1754491326.305078) can0 0x43#000000473B000000
(1754491326.312314) can0 0x43#000000473B000000
