Created a socket
(1754491739.833565) can0 0x286#0000000000000000
(1754491739.8406005) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.8473754) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.8476248) can0 0x98#0000000000000000
(1754491739.8479884) can0 0xa2#0000000000000000
(1754491739.8482187) can0 0x43#0000000F08000000
(1754491739.8539698) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.860064) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.8626513) can0 0xa2#0000000000000000
(1754491739.8628154) can0 0x43#0000001806000000
(1754491739.8630738) can0 0x98#0000000000000000
(1754491739.8633282) can0 0x290#0000005500000000
(1754491739.870615) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.8775735) can0 0x98#0000000000000000
(1754491739.877779) can0 0x43#0000006604000000
(1754491739.8780298) can0 0xa2#0000000000000000
(1754491739.8788218) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.8869603) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.8927267) can0 0xa2#0000000000000000
(1754491739.8929403) can0 0x43#000000F902000000
(1754491739.89323) can0 0x98#0000000000000000
(1754491739.8946002) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9029217) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9072971) can0 0xa2#0000000000000000
(1754491739.9074838) can0 0x43#000000D301000000
(1754491739.90774) can0 0x98#0000000000000000
(1754491739.9129632) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.920277) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9228756) can0 0xa2#0000000000000000
(1754491739.9230604) can0 0x43#000000E700000000
(1754491739.923318) can0 0x98#0000000000000000
(1754491739.9303796) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9381702) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9385357) can0 0xa2#0000000000000000
(1754491739.938756) can0 0x43#0000004D00000000
(1754491739.93902) can0 0x98#0000000000000000
(1754491739.9392815) can0 0x286#0000000000000000
(1754491739.94776) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9541497) can0 0x43#0000000700000000
(1754491739.9543216) can0 0x98#0000000000000000
(1754491739.9545772) can0 0xa2#0000000000000000
(1754491739.9555447) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.963423) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9701657) can0 0x43#0000000A00000000
(1754491739.9703245) can0 0x98#0000000000000000
(1754491739.9705756) can0 0xa2#0000000000000000
(1754491739.9708252) can0 0x290#0000005500000000
(1754491739.9715347) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9796436) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.985192) can0 0xa2#0000000000000000
(1754491739.9853847) can0 0x43#0000005400000000
(1754491739.9856415) can0 0x98#0000000000000000
(1754491739.9881935) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.995633) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.9993308) can0 0xa2#0000000000000000
(1754491739.9994562) can0 0x43#000000E600000000
