Created a socket
(1754490977.5943754) can0 0x43#000000DC4F000000
(1754490977.5946038) can0 0x98#0000000000000000
(1754490977.594853) can0 0xa2#0000000000000000
(1754490977.6091087) can0 0xa2#0000000000000000
(1754490977.609311) can0 0x43#0000005C4A000000
(1754490977.6095655) can0 0x98#0000000000000000
(1754490977.6242461) can0 0x98#0000000000000000
(1754490977.624449) can0 0x43#000000FA44000000
(1754490977.6247194) can0 0xa2#0000000000000000
(1754490977.6249483) can0 0x286#0000000000000000
(1754490977.639288) can0 0x98#0000000000000000
(1754490977.6395094) can0 0x43#000000B83F000000
(1754490977.639752) can0 0xa2#0000000000000000
(1754490977.6542635) can0 0x98#0000000000000000
(1754490977.65449) can0 0x43#0000009A3A000000
(1754490977.6547556) can0 0xa2#0000000000000000
(1754490977.6692088) can0 0x98#0000000000000000
(1754490977.6694403) can0 0x43#000000A435000000
(1754490977.6696718) can0 0xa2#0000000000000000
(1754490977.6699493) can0 0x290#0000000000000000
(1754490977.6710634) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.6841483) can0 0x98#0000000000000000
(1754490977.684366) can0 0x43#000000D730000000
(1754490977.6846173) can0 0xa2#0000000000000000
(1754490977.699208) can0 0x98#0000000000000000
(1754490977.69943) can0 0x43#000000362C000000
(1754490977.6996772) can0 0xa2#0000000000000000
(1754490977.7147114) can0 0xa2#0000000000000000
(1754490977.714929) can0 0x43#000000C427000000
(1754490977.715181) can0 0x98#0000000000000000
(1754490977.7290673) can0 0x43#0000008423000000
(1754490977.729295) can0 0x98#0000000000000000
(1754490977.7295363) can0 0xa2#0000000000000000
(1754490977.7297816) can0 0x286#0000000000000000
(1754490977.7445898) can0 0xa2#0000000000000000
(1754490977.744812) can0 0x43#000000781F000000
(1754490977.7450666) can0 0x98#0000000000000000
(1754490977.759462) can0 0xa2#0000000000000000
(1754490977.759675) can0 0x43#000000A21B000000
(1754490977.7599297) can0 0x98#0000000000000000
(1754490977.7745674) can0 0xa2#0000000000000000
(1754490977.7747989) can0 0x43#0000000518000000
(1754490977.775053) can0 0x98#0000000000000000
(1754490977.775299) can0 0x290#0000000000000000
(1754490977.7769442) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.7890766) can0 0xa2#0000000000000000
(1754490977.7893083) can0 0x43#000000A214000000
(1754490977.7895446) can0 0x98#0000000000000000
(1754490977.8052046) can0 0xa2#0000000000000000
(1754490977.805412) can0 0x43#0000004811000000
(1754490977.8056746) can0 0x98#0000000000000000
(1754490977.8196275) can0 0xa2#0000000000000000
(1754490977.8198597) can0 0x43#000000640E000000
(1754490977.8200915) can0 0x98#0000000000000000
(1754490977.834642) can0 0x43#000000C00B000000
(1754490977.8348994) can0 0x98#0000000000000000
(1754490977.8351083) can0 0xa2#0000000000000000
(1754490977.8353686) can0 0x286#0000000000000000
(1754490977.8497915) can0 0x43#0000005D09000000
(1754490977.8500268) can0 0x98#0000000000000000
(1754490977.850258) can0 0xa2#0000000000000000
(1754490977.8647587) can0 0x43#0000003E07000000
(1754490977.8649907) can0 0x98#0000000000000000
(1754490977.8652341) can0 0xa2#0000000000000000
(1754490977.879581) can0 0x43#0000006205000000
(1754490977.8797982) can0 0x98#0000000000000000
