,timestamp,authentication_id,data_0,data_1,data_2,data_3,data_4,data_5,data_6
64,1754491108.8916783,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
65,1754491108.892105,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
66,1754491108.8925836,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
67,1754491108.8930438,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
68,1754491108.8934774,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
69,1754491108.8939269,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
70,1754491108.8944016,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
71,1754491108.894837,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
72,1754491108.8952682,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
73,1754491108.8956904,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
74,1754491108.896138,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
75,1754491108.8965962,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
76,1754491108.8970163,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
77,1754491108.8974261,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
78,1754491108.897831,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
79,1754491108.8983269,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
80,1754491108.8989134,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
81,1754491108.8993316,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
82,1754491108.8997312,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
83,1754491108.9001431,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
84,1754491108.9006379,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
85,1754491108.9010837,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
86,1754491108.9014974,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
87,1754491108.901922,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
88,1754491108.9023502,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
89,1754491108.902787,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
90,1754491108.9030733,67.0,0.0,0.0,0.0,238.0,250.0,0.0,0.0
91,1754491108.9033024,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
92,1754491108.9035854,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1754491108.9037833,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
94,1754491108.9040408,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1754491108.904268,0.0,222.0,173.0,190.0,239.0,222.0,173.0,190.0
